Unique_ID,sample_name,coral_tag,host_phylum,host_class,host_order,host_family,host_genus,host_species,Site,windward_leeward,Disturbance,Disturbance_cat,Species,expedition,tube_number,fastq_file_name,fastq_fwd_file_name,fastq_rev_file_name,Sequencing_run,Sequence_count,
223_2017_2,223_2017_2,314c_1088,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,34,leeward,1212.82819,Medium,Porites lobata,2017,223,17-223-2-15c-128-2_S351_L001_R1_001.fastq,17-223-2-15c-128-2_S351_L001_R1_001.fastq,17-223-2-15c-128-2_S351_L001_R2_001.fastq.gz,Shedd_2021,6323,Added
517_2015c,517_2015c,361b,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,34,leeward,1212.82819,Medium,Porites lobata,2015c,517,15c-517_S331_L001_R1_001.fastq,15c-517_S331_L001_R1_001.fastq,15c-517_S331_L001_R2_001.fastq.gz,Shedd_2021,12152,Added
337_2015c,337_2015c,387b,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,30,leeward,5085.684783,Very High,Porites lobata,2015c,337,15c-337_S305_L001_R1_001.fastq,15c-337_S305_L001_R1_001.fastq,15c-337_S305_L001_R2_001.fastq.gz,Shedd_2021,7019,Added
353_2015c,353_2015c,445_683,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,30,leeward,5085.684783,Very High,Porites lobata,2015c,353,15c-353_S289_L001_R1_001.fastq,15c-353_S289_L001_R1_001.fastq,15c-353_S289_L001_R2_001.fastq.gz,Shedd_2021,7105,Added
55_2015a,55_2015a,604,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,15,windward,0,Very Low,Porites lobata,2015a,55,PLATE2F8_S158_L001_R1_001.fastq,PLATE2F8_S158_L001_R1_001.fastq,PLATE2F8_S158_L001_R2_001.fastq.gz,SheddRun_Dec2020,18292,Added
124_2019,124_2019,1015,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,37,leeward,0,Very Low,Porites lobata,2019,124,PLATE1G5_S39_L001_R1_001.fastq,PLATE1G5_S39_L001_R1_001.fastq,PLATE1G5_S39_L001_R2_001.fastq.gz,SheddRun_Dec2020,8878,Added
104_2019,104_2019,1018,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,37,leeward,0,Very Low,Porites lobata,2019,104,PLATE4F3_S310_L001_R1_001.fastq,PLATE4F3_S310_L001_R1_001.fastq,PLATE4F3_S310_L001_R2_001.fastq.gz,SheddRun_Dec2020,10267,Added
146_2018,146_2018,1077,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,35,leeward,1212.82819,Medium,Porites lobata,2018,146,PLATE2D10_S172_L001_R1_001.fastq,PLATE2D10_S172_L001_R1_001.fastq,PLATE2D10_S172_L001_R2_001.fastq.gz,SheddRun_Dec2020,23199,Added
211_2019,211_2019,1077,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,35,leeward,1212.82819,Medium,Porites lobata,2019,211,PLATE1G1_S7_L001_R1_001.fastq,PLATE1G1_S7_L001_R1_001.fastq,PLATE1G1_S7_L001_R2_001.fastq.gz,SheddRun_Dec2020,9800,Added
136_2019,136_2019,1097,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2019,136,PLATE4H11_S376_L001_R1_001.fastq,PLATE4H11_S376_L001_R1_001.fastq,PLATE4H11_S376_L001_R2_001.fastq.gz,SheddRun_Dec2020,16270,Added
